المادة الفعالة (Active Substance),رقم CAS,الحالة,اللون الإرشادي,التفصيل والقرار
(E)-11-Tetradecen-1-yl acetate (SCLP Acetates),33189-72-9,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
(E)-5-Decen-1-ol (SCLP Alcohols),56578-18-8,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
(E)-5-Decen-1-yl acetate (SCLP Acetates),38421-90-8,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
(E)-8-Dodecen-1-yl acetate (SCLP Acetates),38363-29-0,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
"(E,E)-7,9-Dodecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
"(E,E)-8,10-Dodecadien-1-ol (SCLP Alcohols)",33956-49-9,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
"(E,E)-8,10-Dodecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
"(E,Z)-2,13-Octadecadien-1-yl acetate (SCLP Acetates)",86252-65-5,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
"(E,Z)-3,13-Octadecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
"(E,Z)-3,8-Tetradecadien-1-yl acetate (SCLP Acetates)",No CAS allocated,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
